Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2014","2014","1000 SLC","5352753","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2015","2015","1000 SLC","5144120","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2016","2016","1000 SLC","5186258","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2017","2017","1000 SLC","5502678","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2018","2018","1000 SLC","5866740","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2019","2019","1000 SLC","5616754","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2020","2020","1000 SLC","5768427","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2000","2000","1000 SLC","5337554","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2001","2001","1000 SLC","5854862","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2002","2002","1000 SLC","5503351","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2003","2003","1000 SLC","5508839","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2004","2004","1000 SLC","5187172","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2005","2005","1000 SLC","5294497","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2006","2006","1000 SLC","5496981","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2007","2007","1000 SLC","5506878","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2008","2008","1000 SLC","5240485","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2009","2009","1000 SLC","4913513","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2010","2010","1000 SLC","5225259","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2011","2011","1000 SLC","5516719","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2012","2012","1000 SLC","5766345","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2013","2013","1000 SLC","6431065","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2014","2014","1000 SLC","5569264","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2015","2015","1000 SLC","5174097","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2016","2016","1000 SLC","5253035","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2017","2017","1000 SLC","5602188","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2018","2018","1000 SLC","5726496","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2019","2019","1000 SLC","5938918","E","Estimated value"
"QV","Value of Agricultural Production","056","Belgium","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2020","2020","1000 SLC","5776759","E","Estimated value"
"QV","Value of Agricultural Production","058","Belgium-Luxembourg","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1991","1991","1000 SLC","6060390","E","Estimated value"
"QV","Value of Agricultural Production","058","Belgium-Luxembourg","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1992","1992","1000 SLC","8981155","E","Estimated value"
"QV","Value of Agricultural Production","058","Belgium-Luxembourg","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1993","1993","1000 SLC","8214424","E","Estimated value"
"QV","Value of Agricultural Production","058","Belgium-Luxembourg","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1994","1994","1000 SLC","5531166","E","Estimated value"
"QV","Value of Agricultural Production","058","Belgium-Luxembourg","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1995","1995","1000 SLC","5832284","E","Estimated value"
"QV","Value of Agricultural Production","058","Belgium-Luxembourg","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1996","1996","1000 SLC","6422585","E","Estimated value"
"QV","Value of Agricultural Production","058","Belgium-Luxembourg","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1997","1997","1000 SLC","5904413","E","Estimated value"
"QV","Value of Agricultural Production","058","Belgium-Luxembourg","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1998","1998","1000 SLC","10396529","E","Estimated value"
"QV","Value of Agricultural Production","058","Belgium-Luxembourg","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1999","1999","1000 SLC","10569752","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1998","1998","1000 SLC","3700654","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1999","1999","1000 SLC","3341770","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2000","2000","1000 SLC","3466624","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2001","2001","1000 SLC","3322882","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2002","2002","1000 SLC","3326457","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2003","2003","1000 SLC","3115323","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2004","2004","1000 SLC","4344322","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2005","2005","1000 SLC","3341057","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2006","2006","1000 SLC","3508790","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2007","2007","1000 SLC","3873064","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2008","2008","1000 SLC","5638378","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2009","2009","1000 SLC","4288549","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2010","2010","1000 SLC","5270031","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2011","2011","1000 SLC","6279135","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2012","2012","1000 SLC","6648591","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2013","2013","1000 SLC","7035821","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2014","2014","1000 SLC","6779469","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2015","2015","1000 SLC","6514306","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2016","2016","1000 SLC","6437351","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2017","2017","1000 SLC","6640496","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2018","2018","1000 SLC","6772062","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2019","2019","1000 SLC","6983435","E","Estimated value"
"QV","Value of Agricultural Production","100","Bulgaria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2020","2020","1000 SLC","6272074","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1992","1992","1000 SLC","553571","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1993","1993","1000 SLC","3847070","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1994","1994","1000 SLC","7113433","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1995","1995","1000 SLC","7011589","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1996","1996","1000 SLC","7717447","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1997","1997","1000 SLC","8712033","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1998","1998","1000 SLC","8857474","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1999","1999","1000 SLC","8696169","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2000","2000","1000 SLC","6580119","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2001","2001","1000 SLC","7362432","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2002","2002","1000 SLC","7652043","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2003","2003","1000 SLC","6848052","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2004","2004","1000 SLC","7720629","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2005","2005","1000 SLC","8049057","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2006","2006","1000 SLC","8506415","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2007","2007","1000 SLC","9784461","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2008","2008","1000 SLC","10851057","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2009","2009","1000 SLC","9188779","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2010","2010","1000 SLC","9798512","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2011","2011","1000 SLC","10833872","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2012","2012","1000 SLC","11067977","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2013","2013","1000 SLC","10185284","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2014","2014","1000 SLC","9175425","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2015","2015","1000 SLC","9595841","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2016","2016","1000 SLC","10456225","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2017","2017","1000 SLC","9961465","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2018","2018","1000 SLC","10079714","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2019","2019","1000 SLC","9895381","E","Estimated value"
"QV","Value of Agricultural Production","191","Croatia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2020","2020","1000 SLC","10899646","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1991","1991","1000 SLC","381480","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1992","1992","1000 SLC","422245","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1993","1993","1000 SLC","432897","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1994","1994","1000 SLC","432149","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1995","1995","1000 SLC","482214","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1996","1996","1000 SLC","464093","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1997","1997","1000 SLC","430338","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1998","1998","1000 SLC","482982","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1999","1999","1000 SLC","492746","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2000","2000","1000 SLC","493604","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2001","2001","1000 SLC","541336","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2002","2002","1000 SLC","552749","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2003","2003","1000 SLC","550595","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2004","2004","1000 SLC","553038","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2005","2005","1000 SLC","546616","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2006","2006","1000 SLC","531793","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2007","2007","1000 SLC","553389","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2008","2008","1000 SLC","594074","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2009","2009","1000 SLC","564034","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2010","2010","1000 SLC","573694","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2011","2011","1000 SLC","591585","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2012","2012","1000 SLC","565216","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2013","2013","1000 SLC","537014","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2014","2014","1000 SLC","522958","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2015","2015","1000 SLC","533251","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2016","2016","1000 SLC","538669","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2017","2017","1000 SLC","572668","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2018","2018","1000 SLC","545335","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2019","2019","1000 SLC","574301","E","Estimated value"
"QV","Value of Agricultural Production","196","Cyprus","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2020","2020","1000 SLC","571281","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1993","1993","1000 SLC","103557934","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1994","1994","1000 SLC","96811961","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1995","1995","1000 SLC","109207157","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1996","1996","1000 SLC","119072485","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1997","1997","1000 SLC","114665725","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1998","1998","1000 SLC","119159030","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1999","1999","1000 SLC","104198509","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2000","2000","1000 SLC","110710361","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2001","2001","1000 SLC","123415562","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2002","2002","1000 SLC","105388613","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2003","2003","1000 SLC","94021992","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2004","2004","1000 SLC","116100524","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2005","2005","1000 SLC","98702927","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2006","2006","1000 SLC","94670813","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2007","2007","1000 SLC","109838937","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2008","2008","1000 SLC","122098419","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2009","2009","1000 SLC","86253584","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2010","2010","1000 SLC","84701672","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2011","2011","1000 SLC","110561022","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2012","2012","1000 SLC","102382183","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2013","2013","1000 SLC","117995678","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2014","2014","1000 SLC","128949548","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2015","2015","1000 SLC","110783154","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2016","2016","1000 SLC","109332730","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2017","2017","1000 SLC","110751384","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2018","2018","1000 SLC","106140982","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2019","2019","1000 SLC","110378672","E","Estimated value"
"QV","Value of Agricultural Production","203","Czechia","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2020","2020","1000 SLC","112767784","E","Estimated value"
"QV","Value of Agricultural Production","208","Denmark","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1991","1991","1000 SLC","52739844","E","Estimated value"
"QV","Value of Agricultural Production","208","Denmark","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1992","1992","1000 SLC","49419442","E","Estimated value"
"QV","Value of Agricultural Production","208","Denmark","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1993","1993","1000 SLC","46278918","E","Estimated value"
"QV","Value of Agricultural Production","208","Denmark","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1994","1994","1000 SLC","45802313","E","Estimated value"
"QV","Value of Agricultural Production","208","Denmark","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1995","1995","1000 SLC","49561581","E","Estimated value"
"QV","Value of Agricultural Production","208","Denmark","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1996","1996","1000 SLC","48475551","E","Estimated value"
"QV","Value of Agricultural Production","208","Denmark","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1997","1997","1000 SLC","42872141","E","Estimated value"
"QV","Value of Agricultural Production","208","Denmark","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1998","1998","1000 SLC","41933859","E","Estimated value"
"QV","Value of Agricultural Production","208","Denmark","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1999","1999","1000 SLC","45813441","E","Estimated value"
