Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1994","1994","°C","1.582","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1995","1995","°C","0.219","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1996","1996","°C","-0.358","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1997","1997","°C","-0.333","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1998","1998","°C","0.779","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1999","1999","°C","0.694","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2000","2000","°C","1.183","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2001","2001","°C","1.629","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2002","2002","°C","0.833","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2003","2003","°C","0.159","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.496","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2005","2005","°C","0.18","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2006","2006","°C","0.538","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2007","2007","°C","1.858","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2008","2008","°C","1.165","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2009","2009","°C","1.273","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2010","2010","°C","1.335","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.399","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2012","2012","°C","1.659","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2013","2013","°C","1.462","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2014","2014","°C","1.207","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.458","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.932","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2017","2017","°C","0.987","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2018","2018","°C","2.228","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.19","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2020","2020","°C","2.182","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.795","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","1992","1992","°C","0.829","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","1993","1993","°C","0.402","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","1994","1994","°C","1.715","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","1995","1995","°C","0.431","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","1996","1996","°C","-0.029","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","1997","1997","°C","0.313","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","1998","1998","°C","1.157","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","1999","1999","°C","0.706","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2000","2000","°C","1.623","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2001","2001","°C","1.596","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2002","2002","°C","1.266","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2003","2003","°C","1.287","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.68","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2005","2005","°C","0.307","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2006","2006","°C","0.735","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2007","2007","°C","1.995","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2008","2008","°C","1.468","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2009","2009","°C","1.51","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2010","2010","°C","0.878","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2011","2011","°C","1.269","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2012","2012","°C","1.857","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2013","2013","°C","1.282","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2014","2014","°C","2.044","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.933","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.843","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.562","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2018","2018","°C","2.321","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.117","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2020","2020","°C","2.024","E","Estimated value"
"ET","Temperature change","191","Croatia","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.622","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1961","1961","°C","0.017","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1962","1962","°C","0.78","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1963","1963","°C","0.728","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1964","1964","°C","-0.591","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1965","1965","°C","-0.199","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1966","1966","°C","0.657","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1967","1967","°C","-0.738","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1968","1968","°C","-0.011","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1969","1969","°C","0.158","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1970","1970","°C","0.489","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1971","1971","°C","-0.217","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1972","1972","°C","-0.559","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1973","1973","°C","-0.328","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1974","1974","°C","-0.171","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1975","1975","°C","-0.217","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1976","1976","°C","-0.711","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1977","1977","°C","0.148","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1978","1978","°C","-0.02","E","Estimated value"
"ET","Temperature change","196","Cyprus","7271","Temperature change","7020","Meteorological year","1979","1979","°C","0.616","E","Estimated value"
